WEATHERNAME,share_dark (%)
"Fog, Smog, Smoke",69.96996996996997
Freezing Rain or Drizzle,64.70588235294117
Rain,55.013799448022084
Blowing Snow,53.84615384615385
Clear,47.768071806379226
Cloudy,46.86442365120446
Snow,46.57142857142857
Sleet or Hail,40.909090909090914
Severe Crosswinds,25.0
"Blowing Sand, Soil, Dirt",23.52941176470588
