WEATHERNAME,crashes,total_crashes,percent_of_total
Clear,24956,32997,75.63111798042246
Cloudy,5023,32997,15.222595993575174
Rain,2174,32997,6.588477740400642
Snow,350,32997,1.0607024881049791
"Fog, Smog, Smoke",333,32997,1.0091826529684518
Sleet or Hail,66,32997,0.20001818347122466
Severe Crosswinds,48,32997,0.1454677697972543
"Blowing Sand, Soil, Dirt",17,32997,0.05151983513652756
Freezing Rain or Drizzle,17,32997,0.05151983513652756
Blowing Snow,13,32997,0.03939752098675637
Total (excluding Unknown/Other/Not Reported),32997,32997,100.0
