AGE_GROUP,people_involved,percent_of_total
0-9,3810,4.624572136042532
10-19,8929,10.838006457407811
20-29,17815,21.62381958099677
30-39,13329,16.178719685383438
40-49,11145,13.527783846770083
50-59,11292,13.706212220522904
60-69,8221,9.978637147088097
70-79,4875,5.917267496904814
80+,2970,3.6049814288835482
Total,82386,100.0
