HOUR,crashes,percent_of_total
0,1265,3.75
1,1237,3.67
2,1250,3.71
3,878,2.61
4,845,2.51
5,1112,3.3
6,1341,3.98
7,1136,3.37
8,955,2.83
9,923,2.74
10,1043,3.1
11,1249,3.71
12,1332,3.95
13,1417,4.21
14,1578,4.68
15,1666,4.94
16,1674,4.97
17,1870,5.55
18,1954,5.8
19,1883,5.59
20,1978,5.87
21,1974,5.86
22,1651,4.9
23,1482,4.4
Total,33693,100.0
