HOUR,crashes,percent_of_total
0,1365,3.96
1,1282,3.72
2,1366,3.96
3,1034,3.0
4,852,2.47
5,1158,3.36
6,1292,3.75
7,1151,3.34
8,972,2.82
9,998,2.89
10,1023,2.97
11,1244,3.61
12,1323,3.84
13,1522,4.41
14,1578,4.57
15,1744,5.06
16,1819,5.27
17,1931,5.6
18,2005,5.81
19,1922,5.57
20,1941,5.63
21,1818,5.27
22,1661,4.82
23,1494,4.33
Total,34495,100.0
