AGE_GROUP,people_involved,percent_of_total
0-9,3991,4.754586609482964
10-19,9581,11.414105313319038
20-29,18561,22.112223016440314
30-39,13267,15.805337145580177
40-49,11167,13.303550154872529
50-59,11518,13.721705980462234
60-69,8063,9.605670717178937
70-79,4725,5.6290207290922085
80+,3067,3.6538003335715987
Total,83940,100.0
