HOUR,crashes,percent_of_total
0,1338,3.9
1,1192,3.48
2,1254,3.66
3,967,2.82
4,824,2.4
5,1071,3.12
6,1295,3.78
7,1162,3.39
8,945,2.76
9,934,2.72
10,1075,3.13
11,1210,3.53
12,1409,4.11
13,1491,4.35
14,1627,4.74
15,1771,5.16
16,1782,5.2
17,1944,5.67
18,2021,5.89
19,1901,5.54
20,1963,5.72
21,1893,5.52
22,1699,4.95
23,1531,4.46
Total,34299,100.0
