WEATHERNAME,crashes,total_crashes,percent_of_total
Clear,23243,32174,72.24156150929322
Cloudy,5547,32174,17.240629079380867
Rain,2480,32174,7.708087275439796
"Fog, Smog, Smoke",403,32174,1.2525641822589668
Snow,318,32174,0.9883757070926835
Sleet or Hail,100,32174,0.31080997078386274
Freezing Rain or Drizzle,24,32174,0.07459439298812706
Blowing Snow,23,32174,0.07148629328028844
Severe Crosswinds,23,32174,0.07148629328028844
"Blowing Sand, Soil, Dirt",13,32174,0.040405296201902155
Total (excluding Unknown/Other/Not Reported),32174,32174,100.0
