WEATHERNAME,share_dark (%)
"Fog, Smog, Smoke",66.74937965260546
Rain,54.43548387096774
Cloudy,46.90823868757887
Clear,46.74955900701286
Sleet or Hail,44.0
Snow,38.05031446540881
Freezing Rain or Drizzle,37.5
Blowing Snow,26.08695652173913
"Blowing Sand, Soil, Dirt",15.384615384615385
Severe Crosswinds,13.043478260869565
