WEATHERNAME,share_dark (%)
"Fog, Smog, Smoke",70.60085836909872
Rain,54.490291262135926
Clear,47.54167191501868
Cloudy,45.85215605749487
Snow,43.75
Blowing Snow,43.47826086956522
Freezing Rain or Drizzle,35.294117647058826
Severe Crosswinds,35.0
Sleet or Hail,32.0
"Blowing Sand, Soil, Dirt",27.27272727272727
