AGE_GROUP,people_involved,percent_of_total
0-9,3985,4.988608197090708
10-19,9365,11.723542224781554
20-29,18116,22.678450714804338
30-39,12336,15.442778097694099
40-49,10652,13.334668636238451
50-59,11229,14.056984051475927
60-69,7335,9.18229388347813
70-79,4103,5.13632608096943
80+,2761,3.456348113467364
Total,79882,100.0
