AGE_GROUP,people_involved,percent_of_total
0-9,4190,4.955295898576091
10-19,9727,11.503618903448602
20-29,19234,22.747055206017315
30-39,13239,15.657079332040304
40-49,11060,13.080088935143573
50-59,11483,13.580349117744454
60-69,8177,9.670514215431194
70-79,4447,5.259236482331236
80+,2999,3.5467619092672313
Total,84556,100.0
