MONTH,MONTHNAME,crashes
1,January,2371
2,February,1983
3,March,2401
4,April,2439
5,May,2869
6,June,2790
7,July,3021
8,August,3049
9,September,2904
10,October,3070
11,November,2780
12,December,2861
