WEATHERNAME,crashes,total_crashes,percent_of_total
Clear,22595,31389,71.98381598649209
Cloudy,4943,31389,15.747554875911943
Rain,2774,31389,8.837490840740386
Snow,392,31389,1.248845136831374
"Fog, Smog, Smoke",366,31389,1.1660135716333748
Reported as Unknown,135,31389,0.4300869731434579
Sleet or Hail,65,31389,0.20707891299499825
Severe Crosswinds,53,31389,0.16884895982669088
Blowing Snow,32,31389,0.10194654178215298
Freezing Rain or Drizzle,24,31389,0.07645990633661474
"Blowing Sand, Soil, Dirt",10,31389,0.03185829430692281
Total (excluding Unknown/Other/Not Reported),31389,31389,100.0
